,symbol,date,stop,targets,trades
65,WDAY,2023-02-02,181.77,"[189.50999999999996, 193.37999999999994]","[(1675746000000, 185.64, 1), (1675832400000, 189.50999999999996, -0.5), (1676005200000, 184.31, -0.5)]"
66,EOG,2023-03-30,118.9,"[121.6406, 123.0109]","[(1681099200000, 120.2703, 1), (1681185600000, 121.6406, -0.5), (1681790400000, 118.6, -0.5)]"
67,EOG,2023-03-31,118.9,"[121.6406, 123.0109]","[(1681099200000, 120.2703, 1), (1681185600000, 121.6406, -0.5), (1681790400000, 118.6, -0.5)]"
68,EOG,2023-04-03,118.9,"[121.6406, 123.0109]","[(1681099200000, 120.2703, 1), (1681185600000, 121.6406, -0.5), (1681790400000, 118.6, -0.5)]"
69,CNQ,2023-03-30,58.37,"[59.73, 60.41]","[(1681099200000, 59.05, 1), (1681272000000, 59.73, -0.5), (1681963200000, 59.46, -0.5)]"
70,CNQ,2023-04-03,58.37,"[59.73, 60.41]","[(1681099200000, 59.05, 1), (1681272000000, 59.73, -0.5), (1681963200000, 59.46, -0.5)]"
71,USB,2023-06-16,31.83,"[33.19, 33.87]","[(1687752000000, 32.51, 1), (1688097600000, 33.19, -0.5), (1688616000000, 32.05, -0.5)]"
72,PYPL,2023-02-02,78.095,"[85.505, 89.21]","[(1676005200000, 81.8, 1), (1676350800000, 78.095, -1)]"
73,PYPL,2023-06-02,62.43,"[65.69, 67.32000000000001]","[(1686542400000, 64.06, 1), (1686801600000, 65.69, -0.5), (1687838400000, 65.78, -0.5)]"
74,SNOW,2023-02-01,154.415,"[168.585, 175.67000000000002]","[(1675832400000, 161.5, 1), (1676350800000, 168.585, -0.5), (1676610000000, 151.55, -0.5)]"
75,SNOW,2023-02-02,154.415,"[168.585, 175.67000000000002]","[(1675832400000, 161.5, 1), (1676350800000, 168.585, -0.5), (1676610000000, 151.55, -0.5)]"
76,SNOW,2023-05-08,166.42,"[176.22, 181.12]","[(1684123200000, 171.32, 1), (1684382400000, 176.22, -0.5), (1684900800000, 172.1205, -0.5)]"
77,SNOW,2023-05-10,166.42,"[176.22, 181.12]","[(1684123200000, 171.32, 1), (1684382400000, 176.22, -0.5), (1684900800000, 172.1205, -0.5)]"
78,SNOW,2023-05-18,175.3934,"[189.00659999999996, 195.81319999999994]","[(1684814400000, 182.2, 1), (1684900800000, 175.3934, -1)]"
79,TEAM,2023-02-02,158.41,"[187.35, 201.82]","[(1675659600000, 172.88, 1), (1676437200000, 187.35, -0.5), (1676523600000, 174.32, -0.5)]"
80,BN,2023-03-29,31.36,"[32.24, 32.68000000000001]","[(1680753600000, 31.8, 1), (1681099200000, 31.36, -1)]"
81,BN,2023-03-30,31.36,"[32.24, 32.68000000000001]","[(1680753600000, 31.8, 1), (1681099200000, 31.36, -1)]"
